"Comment","Code Output","Manual pred."
"Find 3 non-Collinear points.","","Find 3 non-Collinear points. : o
"
"Mark the vertices as processed.","","Mark the vertices as processed. : o
"
"Create edges of the initial triangle.","","Create edges of the initial triangle. : o
"
"Create face for triangle.","","Create face for triangle. : o
"
"Link edges to face.","","Link edges to face. : o
"
"Find a fourth, non-coplanar point to form tetrahedron.","","Find a fourth, non-coplanar point to form tetrahedron. : o
"
"Store vertices in ccw order.","","Store vertices in ccw order. : o
"
"Construct the faces and edges between the original
   	   triangle and the fourth point.","","Construct the faces and edges between the original : o
   	   triangle and the fourth point. : d
"
"-------------------------------------------------------------------------
ConstructHull adds the vertices to the hull one at a time.  The hull
vertices are those in the list marked as onhull.
  -------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
ConstructHull adds the vertices to the hull one at a time.  The hull : o
vertices are those in the list marked as onhull. : d
  ------------------------------------------------------------------------- : d
"
"T if addition changes hull; not used.","","T if addition changes hull : o
 not used. : d
"
"-------------------------------------------------------------------------
AddOne is passed a vertex.  It first determines all faces visible from 
that point.  If none are visible then the point is marked as not onhull.
Next is a loop over edges.  If both faces adjacent to an edge are
visible, then the edge is marked for deletion.  If just one of the adjacent 
faces is visible then a new face is constructed.
--------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
AddOne is passed a vertex.  It first determines all faces visible from  : o
that point.  If none are visible then the point is marked as not onhull. : d
Next is a loop over edges.  If both faces adjacent to an edge are : d
visible, then the edge is marked for deletion.  If just one of the adjacent  : d
faces is visible then a new face is constructed. : d
-------------------------------------------------------------------------- : d
"
"Mark faces visible from p.","","Mark faces visible from p. : o
"
"if (debug) fprintf(stderr,""faddr: %6x   paddr: %6x   Vol = %d\n"",f,p,vol);","","if (debug) fprintf(stderr,""faddr: %6x   paddr: %6x   Vol = %d\n"",f,p,vol) : d
 : e
"
"If no faces are visible from p, then p is inside the hull.","","If no faces are visible from p, then p is inside the hull.: e
"
"Mark edges in interior of visible region for deletion.
	   Erect a newface based on each border edge.","","Mark edges in interior of visible region for deletion. : d
	   Erect a newface based on each border edge. : o
"
"e interior: mark for deletion.","","e interior: mark for deletion. : d
"
"e border: make a new face.","","e border: make a new face. : d
"
"-------------------------------------------------------------------------
Volume6 returns six times the volume of the tetrahedron determined by f 
and p.  Volume6 is positive iff p is on the negative side of f,
where the positive side is determined by the rh-rule.  So the volume 
is positive if the ccw normal to f points outside the tetrahedron.
--------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
Volume6 returns six times the volume of the tetrahedron determined by f  : d
and p.  Volume6 is positive iff p is on the negative side of f, : d
where the positive side is determined by the rh-rule.  So the volume  : o
is positive if the ccw normal to f points outside the tetrahedron. : d
-------------------------------------------------------------------------- : d
"
"This is the expression used in the text.  Now replaced.
	vol = 	 -az * by * cx + ay * bz * cx + az * bx * cy - ax * bz * cy 
		- ay * bx * cz + ax * by * cz + az * by * dx - ay * bz * dx 
		- az * cy * dx + bz * cy * dx + ay * cz * dx - by * cz * dx 
		- az * bx * dy + ax * bz * dy + az * cx * dy - bz * cx * dy 
		- ax * cz * dy + bx * cz * dy + ay * bx * dz - ax * by * dz 
		- ay * cx * dz + by * cx * dz + ax * cy * dz - bx * cy * dz;","","This is the expression used in the text.  Now replaced. : d
	vol = 	 -az * by * cx + ay * bz * cx + az * bx * cy - ax * bz * cy  : d
		- ay * bx * cz + ax * by * cz + az * by * dx - ay * bz * dx  : d
		- az * cy * dx + bz * cy * dx + ay * cz * dx - by * cz * dx  : d
		- az * bx * dy + ax * bz * dy + az * cx * dy - bz * cx * dy  : d
		- ax * cz * dy + bx * cz * dy + ay * bx * dz - ax * by * dz  : d
		- ay * cx * dz + by * cx * dz + ax * cy * dz - bx * cy * dz : d
 : e
"
"This expression is algebraically equivalent to the above, but
	uses fewer multiplications.
	vol =	 -(az-dz) * (by-dy) * (cx-dx) 
		+ (ay-dy) * (bz-dz) * (cx-dx) 
		+ (az-dz) * (bx-dx) * (cy-dy) 
		- (ax-dx) * (bz-dz) * (cy-dy) 
		- (ay-dy) * (bx-dx) * (cz-dz) 
		+ (ax-dx) * (by-dy) * (cz-dz);","","This expression is algebraically equivalent to the above, but : d
	uses fewer multiplications. : o
	vol =	 -(az-dz) * (by-dy) * (cx-dx)  : d
		+ (ay-dy) * (bz-dz) * (cx-dx)  : d
		+ (az-dz) * (bx-dx) * (cy-dy)  : d
		- (ax-dx) * (bz-dz) * (cy-dy)  : d
		- (ay-dy) * (bx-dx) * (cz-dz)  : d
		+ (ax-dx) * (by-dy) * (cz-dz) : o
 : e
"
"And this one has even fewer arithmetic operations:
	   (thanks to Robert Fraczkiewicz):","","And this one has even fewer arithmetic operations: : o
	   (thanks to Robert Fraczkiewicz): : d
"
"Compare integer volume with double volume for saftey.","","Compare integer volume with double volume for saftey. : o
"
"Return based on double volume.","","Return based on double volume. : d
"
"-------------------------------------------------------------------------
Volumed is the same as Volume6 but computed with doubles.  For protection
against overflow.
--------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
Volumed is the same as Volume6 but computed with doubles.  For protection : d
against overflow. : d
-------------------------------------------------------------------------- : d
"
"-------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
"
"----------------------------------------------------------------------
MakeStructs makes a new face and two new edges between the 
edge and the point that are passed to it. It returns a pointer to
the new face.
----------------------------------------------------------------------","","---------------------------------------------------------------------- : d
MakeStructs makes a new face and two new edges between the  : o
edge and the point that are passed to it. It returns a pointer to : d
the new face. : d
---------------------------------------------------------------------- : d
"
"Make two new edges (if don't already exist).","","Make two new edges (if don't already exist). : o
"
"If the edge exists, copy it into new_edge.","","If the edge exists, copy it into new_edge. : d
"
"Otherwise (duplicate is NULL), MakeEdge.","","Otherwise (duplicate is NULL), MakeEdge.: e
"
"Make the new face.","","Make the new face. : o
"
"Set the adjacent face pointers.","","Set the adjacent face pointers. : o
"
"Only one NULL link should be set to new_face.","","Only one NULL link should be set to new_face. : d
"
"------------------------------------------------------------------------
MakeCcw puts the vertices in the face structure in counterclockwise order.  
If there is no adjacent face[1] then we know that
we are working with the first face of the initial tetrahedron.  In this
case we want to store the vertices in the opposite order from the 
initial face.  Otherwise, we want to store the vertices in the same order
as in the visible face.  The third vertex is always p.
------------------------------------------------------------------------","","------------------------------------------------------------------------ : d
MakeCcw puts the vertices in the face structure in counterclockwise order.   : o
If there is no adjacent face[1] then we know that : o
we are working with the first face of the initial tetrahedron.  In this : o
case we want to store the vertices in the opposite order from the  : d
initial face.  Otherwise, we want to store the vertices in the same order : o
as in the visible face.  The third vertex is always p. : o
------------------------------------------------------------------------ : d
"
"Index","","Index : d
"
"The invisible face adjacent to e","","The invisible face adjacent to e : d
"
"Temporary, for swapping","","Temporary, for swapping : d
"
"If this is the initial tetrahedron, then e has only one
	   adjacent face, and use that for fi.  Otherwise, use the
	   invisible face.","","If this is the initial tetrahedron, then e has only one : d
	   adjacent face, and use that for fi.  Otherwise, use the : o
	   invisible face. : d
"
"Set vertex[0] & [1] of f to have the opposite orientation
	   as do the corresponding vertices of fi.","","Set vertex[0] & [1] of f to have the opposite orientation : o
	   as do the corresponding vertices of fi. : o
"
"Find the index i of e->endpoint[1] in fi.","","Find the index i of e->endpoint[1] in fi. : o
"
"Orient f opposite that of fi.","","Orient f opposite that of fi. : o
"
"---------------------------------------------------------------------
MakeEdge creates a new cell and initializes all pointers to NULL
and sets all flags to off.  It returns a pointer to the empty cell.
---------------------------------------------------------------------","","--------------------------------------------------------------------- : d
MakeEdge creates a new cell and initializes all pointers to NULL : o
and sets all flags to off.  It returns a pointer to the empty cell. : d
--------------------------------------------------------------------- : d
"
"---------------------------------------------------------------------
MakeFace creates a new face structure and initializes all of its
flags to NULL and sets all the flags to off.  It returns a pointer
to the empty cell.
----------------------------------------------------------------------","","--------------------------------------------------------------------- : d
MakeFace creates a new face structure and initializes all of its : o
flags to NULL and sets all the flags to off.  It returns a pointer : d
to the empty cell. : d
---------------------------------------------------------------------- : d
"
"-------------------------------------------------------------------------
CleanUp goes through each data structure list and clears all
flags and NULLs out some pointers.  The order of processing
(edges, faces, vertices) is important.
------------------------------------------------------------------------","","-------------------------------------------------------------------------
CleanUp goes through each data structure list and clears all
flags and NULLs out some pointers.  The order of processing
(edges, faces, vertices) is important.
------------------------------------------------------------------------: e
"
"------------------------------------------------------------------------
CleanEdges runs through the edge list and cleans up the structure.
If there is a newface then it will put that face in place of the 
visible face and NULL out newface. It also deletes so marked edges.
-----------------------------------------------------------------------","","------------------------------------------------------------------------ : d
CleanEdges runs through the edge list and cleans up the structure. : o
If there is a newface then it will put that face in place of the  : o
visible face and NULL out newface. It also deletes so marked edges. : d
----------------------------------------------------------------------- : d
"
"Primary index into edge list.","","Primary index into edge list. : d
"
"Temporary edge pointer.","","Temporary edge pointer. : o
"
"Integrate the newface's into the data structure.","","Integrate the newface's into the data structure. : d
"
"Check every edge.","","Check every edge. : o
"
"Delete any edges marked for deletion.","","Delete any edges marked for deletion. : o
"
"------------------------------------------------------------------------
CleanFaces runs through the face list and deletes any face marked visible.
-----------------------------------------------------------------------","","------------------------------------------------------------------------ : d
CleanFaces runs through the face list and deletes any face marked visible. : o
----------------------------------------------------------------------- : d
"
"Primary pointer into face list.","","Primary pointer into face list. : d
"
"Temporary pointer, for deleting.","","Temporary pointer, for deleting. : d
"
"-------------------------------------------------------------------------
CleanVertices runs through the vertex list and deletes the 
vertices that are marked as processed but are not incident to any undeleted
edges. 
-------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
CleanVertices runs through the vertex list and deletes the  : o
vertices that are marked as processed but are not incident to any undeleted : d
edges.  : d
------------------------------------------------------------------------- : d
"
"Mark all vertices incident to some undeleted edge as on the hull.","","Mark all vertices incident to some undeleted edge as on the hull. : o
"
"Delete all vertices that have been processed but
	   are not on the hull.","","Delete all vertices that have been processed but : o
	   are not on the hull. : d
"
"Reset flags.","","Reset flags. : o
"
"------------------------------------------------------------------
Collinear checks to see if the three points given are collinear,
by checking to see if each element of the cross product is zero.
---------------------------------------------------------------------","","------------------------------------------------------------------ : d
Collinear checks to see if the three points given are collinear, : o
by checking to see if each element of the cross product is zero. : o
--------------------------------------------------------------------- : d
"
"------------------------------------------------------------------------
Consistency runs through the edge list and checks that all
adjacent faces have their endpoints in opposite order.  This verifies
that the vertices are in counterclockwise order.
-----------------------------------------------------------------------","","------------------------------------------------------------------------ : d
Consistency runs through the edge list and checks that all : o
adjacent faces have their endpoints in opposite order.  This verifies : o
that the vertices are in counterclockwise order. : d
----------------------------------------------------------------------- : d
"
"find index of endpoint[0] in adjacent face[0]","","find index of endpoint[0] in adjacent face[0] : o
"
"find index of endpoint[0] in adjacent face[1]","","find index of endpoint[0] in adjacent face[1] : o
"
"check if the endpoints occur in opposite order","","check if the endpoints occur in opposite order : o
"
"----------------------------------------------------------------------
Convexity checks that the volume between every face and every
point is negative.  This shows that each point is inside every face
and therefore the hull is convex.
---------------------------------------------------------------------","","---------------------------------------------------------------------- : d
Convexity checks that the volume between every face and every : d
point is negative.  This shows that each point is inside every face : d
and therefore the hull is convex. : d
--------------------------------------------------------------------- : d
"
"----------------------------------------------------------------------
CheckEuler checks Euler's relation, as well as its implications when
all faces are known to be triangles.  Only prints positive information
when debug is true, but always prints negative information.
  ---------------------------------------------------------------------","","---------------------------------------------------------------------- : d
CheckEuler checks Euler's relation, as well as its implications when : o
all faces are known to be triangles.  Only prints positive information : d
when debug is true, but always prints negative information. : d
  --------------------------------------------------------------------- : d
"
"-----------------------------------------------------------------------","","----------------------------------------------------------------------- : d
"
"#ERROR!","","#ERROR! : d
"
"-------------------------------------------------------------------","","------------------------------------------------------------------- : d
"
"-------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
"
"-------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
"
"-------------------------------------------------------------------------","","------------------------------------------------------------------------- : d
"
"-------------------------------------------------------------------------
spiral.c
-------------------------------------------------------------------------
This program will generate a given number of spiral points uniformly 
distributed on the surface of a sphere. The number of points is given on 
the command line as the first parameter.  Thus `spiral 100' will generate
100 points on the surface of a sphere, and output them to stdout.
        A number of different command-line flags are provided to set the
radius of the sphere, control the output format, or generate points on
an ellipsoid.  The definition of the flags is printed if the program is
run without arguments: `spiral'.
        The idea behind the algorithm is that one can cut the globe with 
N horizontal planes spaced 2/(N-1) units apart, forming N circles of 
latitude on the sphere, each latitude containing one spiral point.  To
obtain the kth spiral point, one proceeds upward from the (k-1)st point
(theta(k-1), phi(k-1)) along a great circle to the next latitude and 
travels counterclockwise along ti for a fixed distance to arrive at the 
kth point (theta(k), phi(k)).
        The default output is integers, rounded from the floating point
computation.  The rounding implies that some points will fall outside
the sphere, and some inside.  If all are required to be inside, then
the calls to irint() should be removed.
        The flags -a, -b, -c are used to set ellipsoid axis lengths.
Note that the points are not uniformly distributed on the ellipsoid: they
are uniformly distributed on the sphere and that is scaled to an ellipsoid.
        random() is used to generate random numbers, seeded with time().
How to compile:
        gcc -o spiral spiral.c -lm

Reference: E.B. Saff and A.B.J. Kuijlaars, Distributing Many Points on a Sphere,
The Mathematical Intelligencer, 19(1), Winter (1997);

Written by Joseph O'Rourke and Min Xu, June 1997.
Used in the textbook, ""Computational Geometry in C.""
Questions to orourke@cs.smith.edu.
--------------------------------------------------------------------
This code is Copyright 1997 by Joseph O'Rourke.  It may be freely
redistributed in its entirety provided that this copyright notice is
not removed.
--------------------------------------------------------------------","","-------------------------------------------------------------------------
spiral.c
-------------------------------------------------------------------------
This program will generate a given number of spiral points uniformly 
distributed on the surface of a sphere. The number of points is given on 
the command line as the first parameter.  Thus `spiral 100' will generate
100 points on the surface of a sphere, and output them to stdout.
        A number of different command-line flags are provided to set the
radius of the sphere, control the output format, or generate points on
an ellipsoid.  The definition of the flags is printed if the program is
run without arguments: `spiral'.
        The idea behind the algorithm is that one can cut the globe with 
N horizontal planes spaced 2/(N-1) units apart, forming N circles of 
latitude on the sphere, each latitude containing one spiral point.  To
obtain the kth spiral point, one proceeds upward from the (k-1)st point
(theta(k-1), phi(k-1)) along a great circle to the next latitude and 
travels counterclockwise along ti for a fixed distance to arrive at the 
kth point (theta(k), phi(k)).
        The default output is integers, rounded from the floating point
computation.  The rounding implies that some points will fall outside
the sphere, and some inside.  If all are required to be inside, then
the calls to irint() should be removed.
        The flags -a, -b, -c are used to set ellipsoid axis lengths.
Note that the points are not uniformly distributed on the ellipsoid: they
are uniformly distributed on the sphere and that is scaled to an ellipsoid.
        random() is used to generate random numbers, seeded with time().
How to compile:
        gcc -o spiral spiral.c -lm

Reference: E.B. Saff and A.B.J. Kuijlaars, Distributing Many Points on a Sphere,
The Mathematical Intelligencer, 19(1), Winter (1997);

Written by Joseph O'Rourke and Min Xu, June 1997.
Used in the textbook, ""Computational Geometry in C.""
Questions to orourke@cs.smith.edu.
--------------------------------------------------------------------
This code is Copyright 1997 by Joseph O'Rourke.  It may be freely
redistributed in its entirety provided that this copyright notice is
not removed.
--------------------------------------------------------------------: e
"
"Test for flags","","Test for flags : o
"
"Test for radius flag","","Test for radius flag : o
"
"Test whether user wants floating point output","","Test whether user wants floating point output : o
"
"Test for ellipsoid radius if any","","Test for ellipsoid radius if any : o
"
"number of points","","number of points : d
"
"index","","index : d
"
"default radius","","default radius : d
"
"true radius","","true radius : d
"
"ellipsoid axis lengths","","ellipsoid axis lengths : d
"
"Generate a random point on a sphere of radius 1.","","Generate a random point on a sphere of radius 1. : o
"
"z = cos ( theta ); But z==h, so:","","z = cos ( theta ) : d
 But z==h, so: : d
"
"-------------------------------------------------------------------------
cube.c
-------------------------------------------------------------------------
This program will generate a given number of points uniformly distributed
inside a cube. The number of points is given on the command line as the 
first parameter.  Thus `cube 100' will generate 100 points in a cube,
and output them to stdout.
	A number of different command-line flags are provided to set the 
side-length of the cube, control the output format, or to change the cube
to a box. The definition of the flags is printed if the program is 
run without arguments: `cube'.  Note that -s sets the half-side
length: points are generated between -s and +s.
        The default output is integers, rounded from the floating point
computation.  The rounding implies that some points will fall outside
the sphere, and some inside.  If all are required to be inside, then
the calls to irint() should be removed.
	The flags -a, -b, -c are used to set different x, y, z side-lengths 
for a box.  Note that the points are not uniformly distributed: they are 
uniformly distributed on the cube and then scaled.
	random() is used to generate random numbers, seeded with time().
How to compile:
	gcc -o cube cube.c -lm

Written by Joseph O'Rourke and Min Xu, June 1997.
Used in the textbook, ""Computational Geometry in C.""
Questions to orourke@cs.smith.edu.
--------------------------------------------------------------------
This code is Copyright 1997 by Joseph O'Rourke.  It may be freely
redistributed in its entirety provided that this copyright notice is
not removed.
--------------------------------------------------------------------","","-------------------------------------------------------------------------
cube.c
-------------------------------------------------------------------------
This program will generate a given number of points uniformly distributed
inside a cube. The number of points is given on the command line as the 
first parameter.  Thus `cube 100' will generate 100 points in a cube,
and output them to stdout.
	A number of different command-line flags are provided to set the 
side-length of the cube, control the output format, or to change the cube
to a box. The definition of the flags is printed if the program is 
run without arguments: `cube'.  Note that -s sets the half-side
length: points are generated between -s and +s.
        The default output is integers, rounded from the floating point
computation.  The rounding implies that some points will fall outside
the sphere, and some inside.  If all are required to be inside, then
the calls to irint() should be removed.
	The flags -a, -b, -c are used to set different x, y, z side-lengths 
for a box.  Note that the points are not uniformly distributed: they are 
uniformly distributed on the cube and then scaled.
	random() is used to generate random numbers, seeded with time().
How to compile:
	gcc -o cube cube.c -lm

Written by Joseph O'Rourke and Min Xu, June 1997.
Used in the textbook, ""Computational Geometry in C.""
Questions to orourke@cs.smith.edu.
--------------------------------------------------------------------
This code is Copyright 1997 by Joseph O'Rourke.  It may be freely
redistributed in its entirety provided that this copyright notice is
not removed.
--------------------------------------------------------------------: e
"
"MAX_INT is the range of random(): 2^{31}-1","","MAX_INT is the range of random(): 2^{31}-1 : d
"
"Test for flags","","Test for flags : o
"
"Test for side-length flag","","Test for side-length flag : o
"
"Test whether user wants floating point output","","Test whether user wants floating point output : o
"
"Test for x, y, z dimensions if any","","Test for x, y, z dimensions if any : o
"
"number of points","","number of points : d
"
"default (half) side-length","","default (half) side-length : d
"
"true (half) side-length","","true (half) side-length : d
"
"axis lengths","","axis lengths : d
"
"Generate a random point on a unit cube.","","Generate a random point on a unit cube. : o
"
"-------------------------------------------------------------------------
sphere.c
-------------------------------------------------------------------------
This program will generate a given number of points uniformly distributed
on the surface of a sphere. The number of points is given on the command
line as the first parameter.  Thus `sphere 100' will generate 100 points 
on the surface of a sphere, and output them to stdout.
	A number of different command-line flags are provided to set the 
radius of the sphere, control the output format, or generate points on 
an ellipsoid.  The definition of the flags is printed if the program is 
run without arguments: `sphere'.
	The idea behind the algorithm is that for a sphere of radius r, the 
area of a zone of width h is always 2*pi*r*h, regardless of where the sphere 
is sliced.  The implication is that the z-coordinates of random points on a 
sphere are uniformly distributed, so that x and y can always be generated by 
a given z and a given angle.
	The default output is integers, rounded from the floating point 
computation.  The rounding implies that some points will fall outside
the sphere, and some inside.  If all are required to be inside, then
the calls to irint() should be removed.  
	The flags -a, -b, -c are used to set ellipsoid axis lengths.  
Note that the points are not uniformly distributed on the ellipsoid: they 
are uniformly distributed on the sphere and that is scaled to an ellipsoid.
	random() is used to generate random numbers, seeded with time().
How to compile:
	gcc -o sphere sphere.c -lm

Reference: J. O'Rourke, Computational Geometry Column 31,
Internat. J. Comput. Geom. Appl. 7(4) 379--382 (1997); 
also in SIGACT News, 28(2):20--23 (1997), Issue 103.

Written by Joseph O'Rourke and Min Xu, June 1997.
Used in the textbook, ""Computational Geometry in C.""
Questions to orourke@cs.smith.edu.
--------------------------------------------------------------------
This code is Copyright 1997 by Joseph O'Rourke.  It may be freely
redistributed in its entirety provided that this copyright notice is
not removed.
--------------------------------------------------------------------","","-------------------------------------------------------------------------
sphere.c
-------------------------------------------------------------------------
This program will generate a given number of points uniformly distributed
on the surface of a sphere. The number of points is given on the command
line as the first parameter.  Thus `sphere 100' will generate 100 points 
on the surface of a sphere, and output them to stdout.
	A number of different command-line flags are provided to set the 
radius of the sphere, control the output format, or generate points on 
an ellipsoid.  The definition of the flags is printed if the program is 
run without arguments: `sphere'.
	The idea behind the algorithm is that for a sphere of radius r, the 
area of a zone of width h is always 2*pi*r*h, regardless of where the sphere 
is sliced.  The implication is that the z-coordinates of random points on a 
sphere are uniformly distributed, so that x and y can always be generated by 
a given z and a given angle.
	The default output is integers, rounded from the floating point 
computation.  The rounding implies that some points will fall outside
the sphere, and some inside.  If all are required to be inside, then
the calls to irint() should be removed.  
	The flags -a, -b, -c are used to set ellipsoid axis lengths.  
Note that the points are not uniformly distributed on the ellipsoid: they 
are uniformly distributed on the sphere and that is scaled to an ellipsoid.
	random() is used to generate random numbers, seeded with time().
How to compile:
	gcc -o sphere sphere.c -lm

Reference: J. O'Rourke, Computational Geometry Column 31,
Internat. J. Comput. Geom. Appl. 7(4) 379--382 (1997); 
also in SIGACT News, 28(2):20--23 (1997), Issue 103.

Written by Joseph O'Rourke and Min Xu, June 1997.
Used in the textbook, ""Computational Geometry in C.""
Questions to orourke@cs.smith.edu.
--------------------------------------------------------------------
This code is Copyright 1997 by Joseph O'Rourke.  It may be freely
redistributed in its entirety provided that this copyright notice is
not removed.
--------------------------------------------------------------------: e
"
"MAX_INT is the range of random(): 2^{31}-1","","MAX_INT is the range of random(): 2^{31}-1 : d
"
"Test for flags","","Test for flags : o
"
"Test for radius flag","","Test for radius flag : o
"
"Test whether user wants floating point output","","Test whether user wants floating point output : o
"
"Test for ellipsoid radius if any","","Test for ellipsoid radius if any : o
"
"number of points","","number of points : d
"
"default radius","","default radius : d
"
"true radius","","true radius : d
"
"ellipsoid axis lengths","","ellipsoid axis lengths : d
"
"Generate a random point on a sphere of radius 1.","","Generate a random point on a sphere of radius 1. : o
"
"the sphere is sliced at z, and a random point at angle t
       generated on the circle of intersection.","","the sphere is sliced at z, and a random point at angle t : d
       generated on the circle of intersection. : o
"
